PLAYER_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,isHOF
76541,57.0,,776.0,141.0,300.0,0.47,1.0,5.0,0.2,33.0,48.0,0.688,42.0,83.0,125.0,77.0,33.0,9.0,76.0,112.0,316.0,0
76542,3.0,0.0,15.0,3.5,7.5,0.473,1.0,2.0,0.6665,0.5,0.5,0.5,1.0,1.5,2.5,0.5,0.0,0.0,1.5,2.0,8.5,0
76543,62.0,2.0,731.0,112.0,217.0,0.5,0.0,1.0,0.0,59.0,87.0,0.671,37.0,88.0,125.0,76.0,29.0,7.0,57.0,100.0,283.0,0
76544,7.0,,48.0,2.0,11.0,0.182,1.0,1.0,1.0,5.0,7.0,0.714,2.0,4.0,6.0,6.0,0.0,0.0,3.0,3.0,10.0,0
76546,48.0,,776.0,126.5,348.5,0.41600000000000004,,,,99.0,125.5,0.794,,,216.5,30.0,,,,82.0,352.0,0
76548,10.0,,,6.0,15.0,0.4,,,,2.0,6.0,0.333,,,,0.0,,,,8.0,14.0,0
76551,17.0,,132.0,20.0,42.0,0.476,,,,24.0,35.0,0.686,,,31.0,14.0,,,,47.0,64.0,0
76552,31.0,0.0,74.0,14.0,42.0,0.333,0.0,4.0,0.0,8.0,10.0,0.8,8.0,15.0,23.0,5.0,1.0,0.0,7.0,15.0,36.0,0
76553,76.0,0.0,964.0,128.0,254.0,0.47,0.0,1.0,0.0,58.0,92.0,0.601,114.0,129.0,243.0,28.0,12.0,13.0,58.0,153.0,314.0,0
76555,67.0,,1147.0,126.0,302.0,0.428,,,,81.0,106.0,0.667,,,236.0,136.0,,,,113.0,323.0,0
76556,30.0,0.0,413.0,36.0,99.0,0.364,0.0,0.0,0.15,15.0,24.0,0.65,37.0,64.0,101.0,42.0,23.0,8.0,29.0,81.0,90.0,0
76557,1.0,,9.0,2.0,5.0,0.4,,,,1.0,1.0,1.0,,,4.0,0.0,,,,3.0,5.0,0
76558,45.0,,700.0,103.0,256.0,0.402,,,,33.0,47.0,0.702,81.0,137.0,218.0,33.0,14.0,16.0,,100.0,239.0,0
76559,53.5,,502.5,107.5,256.5,0.4155,,,,44.0,56.0,0.786,10.0,33.0,43.0,35.5,17.0,2.5,,34.5,259.0,0
76560,19.0,,93.0,6.0,36.0,0.167,,,,9.0,20.0,0.45,,,21.0,15.0,,,,17.0,21.0,0
76561,70.0,,1248.0,190.0,502.0,0.37,,,,133.0,172.0,0.76,,,146.0,141.0,,,,114.0,477.0,0
76562,5.0,,,6.0,25.0,0.24,,,,5.0,7.0,0.714,,,18.0,9.0,,,,6.0,17.0,0
76563,11.5,,87.5,7.5,20.5,0.405,,,,7.5,12.0,0.625,1.5,1.0,2.5,9.5,1.5,0.5,,15.0,22.5,0
76564,49.0,,856.0,115.0,233.0,0.462,,,,45.0,61.0,0.773,100.0,140.0,240.0,54.0,17.0,11.0,23.0,101.0,281.0,0
76565,45.0,,440.0,40.0,136.0,0.294,,,,47.0,69.0,0.681,,,81.0,50.0,,,,79.0,127.0,0
76566,66.0,,950.5,162.5,418.0,0.399,,,,91.5,154.0,0.663,,,333.5,56.5,,,,156.5,405.0,0
76567,79.0,0.0,1487.0,209.0,400.0,0.46,0.5,3.5,0.0555,79.0,111.0,0.717,79.0,227.0,315.0,148.0,72.0,51.0,90.0,206.0,497.0,0
76568,52.0,,712.0,103.0,234.0,0.421,,,,35.0,45.0,0.902,7.0,43.0,50.0,151.0,19.0,1.0,47.0,62.0,241.0,0
76569,33.0,0.0,221.0,29.0,79.0,0.367,0.0,4.0,0.0,15.0,23.0,0.652,6.0,9.0,15.0,34.0,8.0,2.0,17.0,40.0,73.0,0
76570,57.0,,,111.0,563.0,0.197,,,,74.0,111.0,0.667,,,,40.0,,,,92.0,296.0,0
76571,22.0,,,10.0,55.0,0.182,,,,16.0,22.0,0.727,,,,5.0,,,,19.0,36.0,0
76574,11.0,0.0,146.5,13.5,33.5,0.40800000000000003,0.0,0.0,0.0,8.0,9.0,0.878,0.0,11.5,11.5,19.0,2.0,0.0,13.0,13.5,35.0,0
76575,18.0,,89.0,17.0,41.0,0.415,,,,11.0,20.0,0.55,,,20.0,7.0,,,,10.0,45.0,0
76576,64.0,,794.0,123.5,340.0,0.3635,,,,49.5,80.5,0.5820000000000001,,,223.0,32.5,,,,106.0,296.5,0
76577,75.0,,1936.0,342.0,650.0,0.512,,,,174.0,241.0,0.762,,,369.0,113.0,,,,230.0,858.0,0
76578,7.0,,72.0,2.0,21.0,0.095,,,,7.0,12.0,0.583,,,13.0,4.0,,,,12.0,11.0,0
76580,9.0,,,6.0,27.0,0.222,,,,3.0,5.0,0.6,,,,6.0,,,,13.0,15.0,0
76581,38.5,,,80.0,257.0,0.308,,,,87.0,118.5,0.7364999999999999,,,18.0,87.0,,,,112.5,247.0,0
76582,47.0,,,159.5,548.0,0.2975,,,,89.0,132.5,0.66,,,,67.0,,,,117.5,408.0,0
76583,71.0,46.5,1767.5,212.5,377.5,0.563,0.0,0.0,0.0,147.0,186.5,0.735,140.5,391.0,535.5,49.5,22.5,87.0,94.5,142.5,572.0,0
76584,68.0,,1451.0,160.0,334.0,0.483,,,,116.0,234.5,0.5035000000000001,,,253.0,169.5,,,,218.0,433.5,0
76585,45.0,,,90.0,275.0,0.327,,,,73.0,106.0,0.689,,,,38.0,,,,107.0,253.0,0
76586,44.0,0.0,364.0,44.0,109.0,0.404,0.0,7.0,0.0,17.0,21.0,0.81,5.0,20.0,25.0,87.0,16.0,1.0,42.0,33.0,105.0,0
76587,11.0,,88.0,12.0,31.0,0.387,0.0,0.0,,8.0,16.0,0.6,11.0,15.0,23.0,3.0,2.0,2.0,6.0,17.0,34.0,0
76588,8.0,1.0,98.0,7.0,24.0,0.292,0.0,1.0,0.0,0.0,4.0,0.0,5.0,9.0,14.0,17.0,9.0,0.0,9.0,9.0,14.0,0
76589,33.5,5.0,521.5,91.0,197.5,0.316,9.5,30.5,0.40249999999999997,34.5,52.0,0.8285,13.5,32.0,45.5,73.5,24.0,4.5,46.0,73.5,226.0,0
76590,78.0,8.5,1626.0,221.0,455.0,0.49,0.0,0.0,0.0,125.0,186.0,0.555,171.0,330.0,501.0,69.0,30.0,48.0,108.5,251.0,567.0,0
76592,28.5,,199.0,34.5,87.5,0.38149999999999995,,,,18.0,31.0,0.5645,,,57.0,11.5,,,,38.0,87.0,0
76593,3.0,,,0.0,2.0,0.0,,,,0.0,0.0,,,,,0.0,,,,0.0,0.0,0
76594,13.5,,73.0,10.5,33.0,0.164,,,,11.0,20.0,0.2895,7.0,13.5,20.5,5.5,2.5,0.0,,16.5,32.0,0
76595,4.0,,25.0,6.0,12.0,0.5,,,,4.0,5.0,0.8,,,8.0,3.0,,,,4.0,16.0,0
76596,9.0,0.0,92.0,9.0,27.0,0.333,0.0,1.0,0.0,4.0,8.0,0.5,7.0,8.0,15.0,3.0,6.0,2.0,7.0,10.0,22.0,0
76598,74.0,24.5,2203.0,527.0,1168.0,0.474,0.0,7.0,0.0,412.0,575.0,0.755,203.0,268.0,471.0,119.0,98.0,16.0,193.0,261.0,1454.0,0
76599,74.5,26.5,1972.0,343.0,738.5,0.459,9.0,29.5,0.2925,133.5,163.5,0.794,25.5,99.0,122.5,360.5,77.0,3.0,159.0,129.5,819.5,0
76603,59.0,,697.0,88.0,187.0,0.415,,,,30.0,46.0,0.692,40.0,67.5,199.0,54.0,11.0,8.0,,121.0,206.0,0
76604,6.0,,67.0,7.0,14.0,0.5,0.0,0.0,,1.0,4.0,0.25,5.0,14.0,19.0,14.0,1.0,2.0,13.0,16.0,15.0,0
76605,34.0,,424.0,54.0,158.0,0.342,,,,24.0,27.0,0.889,,,56.0,47.0,,,,60.0,132.0,0
76607,72.5,,1106.0,114.5,233.0,0.49,,,,99.5,146.0,0.6875,86.0,157.0,207.0,177.5,67.0,2.0,113.5,137.0,333.0,0
76608,26.5,0.0,241.5,54.0,119.0,0.452,4.0,8.0,0.308,15.5,20.5,0.6745000000000001,10.5,16.5,27.0,21.0,8.5,2.5,17.5,14.0,123.5,0
76609,11.0,,0.0,5.0,25.0,0.219,,,,4.0,4.0,0.714,,,0.0,0.0,,,,13.0,11.0,0
76610,42.0,,435.0,66.0,174.0,0.379,,,,22.0,39.0,0.677,,,39.0,79.0,,,,42.0,154.0,0
76611,71.5,,1970.0,267.0,676.5,0.3625,,,,255.5,374.5,0.7055,,,843.0,59.5,,,,310.5,761.5,0
76615,55.0,,,125.0,289.0,0.414,,,,60.0,108.0,0.615,,,30.0,42.0,,,,160.0,310.0,0
76616,19.0,7.0,404.0,64.0,135.0,0.458,9.5,32.5,0.3425,32.0,40.0,0.8,6.0,24.0,31.0,78.0,13.0,2.0,38.0,55.0,169.0,0
76617,28.0,,206.0,28.0,90.0,0.311,,,,14.0,17.0,0.824,,,31.0,28.0,,,,20.0,70.0,0
76618,81.0,21.5,1834.5,159.0,356.0,0.4485,0.0,1.5,0.0,73.5,99.5,0.7304999999999999,132.5,183.0,312.5,125.0,100.5,18.5,53.5,156.0,391.5,0
76619,79.0,16.5,1056.0,121.0,268.0,0.451,0.0,11.0,0.0,27.0,37.0,0.73,14.0,69.0,84.0,157.0,20.0,4.0,72.0,143.0,272.0,0
76621,31.5,4.0,403.5,61.0,147.5,0.39849999999999997,0.0,1.5,0.0,36.5,53.0,0.478,25.5,40.5,66.0,42.5,11.0,5.0,40.5,58.0,158.5,0
76622,24.0,,251.5,33.5,83.5,0.401,,,,20.5,30.0,0.617,24.5,45.5,51.0,12.0,7.0,4.5,,41.5,86.5,0
76623,25.0,,133.5,19.5,54.0,0.359,,,,9.0,13.5,0.667,4.5,11.0,15.5,17.0,11.0,2.0,,24.5,48.0,0
76624,60.0,,,121.0,380.0,0.318,,,,34.0,69.0,0.493,,,,129.0,,,,157.0,276.0,0
76625,32.0,0.0,103.0,17.0,37.0,0.459,2.0,4.0,0.5,7.0,9.0,0.778,3.0,9.0,12.0,15.0,2.0,0.0,7.0,19.0,43.0,0
76626,11.0,,91.0,6.0,26.0,0.231,,,,4.0,8.0,0.5,,,16.0,5.0,,,,21.0,16.0,0
76628,25.0,,328.5,37.0,69.0,0.48050000000000004,,,,39.5,47.0,0.84,23.0,37.5,60.5,23.0,5.5,13.5,24.0,58.5,113.5,0
76630,2.0,,12.0,1.0,2.0,0.5,,,,2.0,4.0,0.5,,,2.0,0.0,,,,0.0,4.0,0
76631,81.0,80.0,2505.0,188.0,407.0,0.462,0.0,0.0,0.0,79.0,123.0,0.656,172.0,485.0,667.0,83.0,36.0,304.0,131.0,282.0,461.0,0
76632,41.5,0.5,535.5,67.5,150.5,0.469,0.0,3.0,0.0,48.5,69.0,0.8215,15.0,28.0,43.0,102.0,17.0,1.5,48.5,48.0,183.5,0
76633,8.0,,50.0,6.0,28.0,0.214,,,,3.0,4.0,0.75,,,8.0,4.0,,,,5.0,15.0,0
76634,52.5,,897.5,126.0,270.0,0.429,,,,75.0,99.5,0.8,56.5,105.0,161.5,38.0,29.0,9.5,23.0,130.5,327.0,0
76635,4.0,0.0,13.0,2.0,9.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0
76636,66.5,,1732.0,300.5,857.5,0.353,,,,182.0,294.5,0.6185,,,267.0,138.0,,,,240.0,783.0,0
76637,10.0,1.0,143.0,4.0,13.0,0.308,0.0,0.0,,3.0,8.0,0.375,8.0,18.0,26.0,10.0,5.0,4.0,3.0,39.0,11.0,0
76638,36.0,0.0,415.0,91.5,206.5,0.4905,0.0,0.0,0.0,47.0,64.0,0.733,30.0,24.5,54.5,24.5,16.5,6.0,32.5,54.0,229.0,0
76641,42.0,3.0,414.0,65.0,150.0,0.454,0.0,4.0,0.0,24.0,32.0,0.75,10.0,17.0,27.0,90.0,17.0,4.0,46.0,37.0,150.0,0
76643,4.0,0.0,26.0,3.0,7.0,0.429,0.0,2.0,0.0,1.0,3.0,0.333,1.0,1.0,2.0,4.0,1.0,0.0,1.0,4.0,7.0,0
76646,3.0,0.0,44.0,2.0,18.0,0.111,0.0,5.0,0.0,2.0,5.0,0.4,5.0,9.0,14.0,4.0,3.0,1.0,4.0,6.0,6.0,0
76647,66.0,,930.0,163.0,415.0,0.412,,,,99.0,121.0,0.794,,,104.0,134.0,,,,127.0,468.0,0
76648,2.0,,,1.0,4.0,0.25,,,,2.0,3.0,0.667,,,,1.0,,,,3.0,4.0,0
76649,49.5,,,143.0,500.0,0.28049999999999997,,,,114.0,184.5,0.6045,,,,88.5,,,,105.5,400.0,0
76651,1.0,,10.0,1.0,2.0,0.5,,,,0.0,0.0,,,,1.0,3.0,,,,1.0,2.0,0
76653,1.0,,,0.0,1.0,0.0,,,,0.0,0.0,,,,,0.0,,,,1.0,0.0,0
76655,3.0,,,0.5,4.5,0.1,,,,2.0,2.0,1.0,,,8.0,0.0,,,,4.0,3.0,0
76656,54.0,,722.0,101.0,228.0,0.511,1.0,3.0,0.375,104.0,152.0,0.684,67.0,118.0,185.0,53.0,29.0,14.0,88.0,97.0,307.0,0
76658,59.0,,936.5,113.5,282.0,0.388,,,,76.5,110.0,0.6895,,,308.0,43.0,,,,100.5,303.5,0
76661,74.0,,1258.0,239.5,584.0,0.40249999999999997,,,,82.0,112.5,0.736,37.0,85.0,335.5,92.5,33.0,9.0,,183.5,561.0,0
76663,78.5,,2104.5,299.0,661.5,0.442,,,,127.0,165.5,0.7324999999999999,195.0,387.0,617.0,73.5,44.0,55.0,,193.0,722.5,0
76664,48.0,,502.0,61.0,136.0,0.449,0.0,3.0,0.0,40.0,53.0,0.755,51.0,65.0,116.0,30.0,10.0,24.0,24.0,67.0,162.0,0
76667,5.0,,40.0,2.0,14.0,0.143,,,,1.0,2.0,0.5,1.0,5.0,6.0,2.0,1.0,0.0,,6.0,5.0,0
76669,16.0,,,3.0,25.0,0.12,,,,8.0,15.0,0.533,,,,4.0,,,,13.0,14.0,0
